Automobile interior parts production,汽车内饰件生产
Automotive Financial Services,汽车金融服务
Transformer and power equipment manufacturing,变压器及电力设备制造
Power facilities,电力设施
Wind farm construction and operation,风电场建设与运营
New energy vehicle research and development,新能源汽车研发
Power equipment manufacturing,电力设备制造
Car Repair and Maintenance,汽车维修与保养
Energy Management System,能源管理系统
washer,垫圈
Non-ferrous metals trading,有色金属贸易
Clean energy power generation equipment,清洁能源发电设备
Nuclear power equipment,核电设备
Power equipment installation,电力设备安装
Steel Production,钢铁生产
Optical glasses,光学眼镜
Hydropower generation equipment,水电发电设备
New energy vehicle motor,新能源汽车电机
Self-driving cars,自动驾驶汽车
Wind power generation system,风力发电系统
Thermal control system,热工控制系统
New energy vehicle charging service,新能源汽车充电服务
Thermal power generating units,火力发电机组
Satellite communication system,卫星通信系统
Nonferrous metal smelting,有色金属冶炼
Energy Management Consulting,能源管理咨询
Smart Temperature Sensor,智能温度传感器
Non-ferrous metal processing,有色金属加工
Green paint,绿色涂料
Polysilicon material,多晶硅材料
Wind turbines,风能发电机组
Wind power project operation,风力发电项目运营
Power equipment production,电力设备生产
Wind farm construction,风电场建设
Wind farm development,风电场开发
Infrared thermal imaging technology products,红外热成像技术产品
Application of Beidou Satellite Navigation Technology,北斗卫星导航技术应用
Intelligent Transportation Systems,智能交通系统
Photovoltaic panels,光伏板
Pumped Storage Power Station,抽水蓄能发电站
Single crystal silicon material,单晶硅材料
Photovoltaic modules,光伏组件
Wind turbines,风力发电机
Gas Equipment,气体设备
Warehousing and logistics equipment,仓储物流设备
Non-ferrous metal products,有色金属制品
Steel Trading,钢材贸易
Automobile engine parts,汽车发动机部件
Car wheels,汽车轮毂
New energy vehicle accessories,新能源车辆配件
New energy vehicle financing leasing,新能源汽车融资租赁
Control System,控制系统
Steel Trading Services,钢材贸易服务
International trade of non-ferrous metals,有色金属国际贸易
Electric vehicle charging stations,电动汽车充电站
Wind power generation system,风能发电系统
New energy power generation system,新能源发电系统
Power transmission equipment,电力传输设备
Mechanical and electrical equipment bidding agency,机电设备招标代理
Car Insurance Agent,车险代理
Auto Parts,汽车配件
Steel Processing,钢材加工
Photovoltaic module sales,光伏组件销售
Grid Operation,电网运营
Electric vehicle power system research and development,电动汽车动力系统研发
System Integration,系统集成
In-vehicle information service,车载信息服务
Lubricant products,润滑油产品
lubricating oil,润滑油
Carbon fiber material,碳纤维材料
Light Trucks,轻型卡车
Automotive test equipment,汽车测试设备
Highway Monitoring System,高速公路监控系统
Automotive electronic control systems,汽车电子控制系统
Steel products,钢铁制品
Import and export of power equipment,电力设备进出口
Power equipment maintenance,电力设备维修
Pumped Storage Power Station Construction,抽水蓄能电站建设
Lubricant sales,润滑油销售
Steel products,钢铁产品
Motorcycle Repair Service,摩托车维修服务
Power equipment supply and installation,电力设备供应与安装
Photovoltaic power station construction,光伏电站建设
New energy technology research,新能源技术研究
Information system integration,信息系统集成
New energy vehicle power system,新能源汽车动力系统
Energy Logistics,能源物流
Photovoltaic engineering design,光伏工程设计
Power facility construction and maintenance,电力设施建设与维护
Petroleum product sales,石油产品销售
Power supply service management,供电服务管理
Power automation equipment,电力自动化设备
Lithium-ion battery materials,锂离子电池材料
Monitoring system,监控系统
Mechanical and electrical equipment,机电设备
Photovoltaic power generation system,光伏发电系统
Power engineering equipment,电力工程设备
Hydrogen energy storage system,氢能储能系统
Hydrogen energy storage system,氢能储存系统
Car decoration,汽车装潢
Distributed Energy Systems,分布式能源系统
Distributed photovoltaic power generation system,分布式光伏发电系统
Security monitoring system,安全监控系统
